推,噓,分數,作者,標題,時間,推_etl,時間_etl
推: 2,噓: 0,分數: 2,作者: lwt501cx (爆裂魔法Explosion！！),標題: [公告] 暫時性板規 期限至2024年01月20日,時間: Sat Nov  4 15:37:58 2023,2,2023-11-04 15:37:58
推: 0,噓: 0,分數: 0,作者: lwt501cx (爆裂魔法Explosion！！),標題: [公告] 八卦板板規(2023.11.11),時間: Sat Nov 11 00:13:06 2023,0,2023-11-11 00:13:06
推: 6,噓: 1,分數: 5,作者: ubcs (覺★青年超冒險蓋),標題: [公告] 聖誕節單人用餐活動這一次我們回家投票,時間: Mon Jan  1 19:32:54 2024,6,2024-01-01 19:32:54
推: 23,噓: 6,分數: 17,作者: ubcs (覺★青年超冒險蓋),標題: [公告]2024/01/03零時起至投票結束 不得轉發民調,時間: Mon Jan  1 19:54:43 2024,23,2024-01-01 19:54:43
推: 199,噓: 40,分數: 159,作者: ubcs (覺★青年超冒險蓋),標題: [公告] 防IWIN勿PO 小商人紐時廣告無碼照,時間: Thu Jan  4 15:48:00 2024,199,2024-01-04 15:48:00
推: 5,噓: 0,分數: 5,作者: peterlin495 (專業果粉O'_'O),標題: [問卦] 慟!? 竟然89也不少不買C300的?,時間: Sat Jan  6 19:31:37 2024,5,2024-01-06 19:31:37
推: 3,噓: 1,分數: 2,作者: JJRICH (流浪的武士),標題: [問卦] 急，我一輩子挺的朋友八年付出做白工,時間: Sat Jan  6 19:31:57 2024,3,2024-01-06 19:31:57
推: 4,噓: 3,分數: 1,作者: blueian (義恩阿庫犽),標題: [問卦] 下禮拜房價開始跌怎麼辦??,時間: Sat Jan  6 19:33:03 2024,4,2024-01-06 19:33:03
推: 7,噓: 2,分數: 5,作者: miss80423 (自宅警備員),標題: [問卦] 手搖飲料一杯快要100塊錢了怎辦==？,時間: Sat Jan  6 19:35:38 2024,7,2024-01-06 19:35:38
推: 0,噓: 1,分數: -1,作者: paulispig (關心高立德的牙齒狀況),標題: [新聞] 不讓回家繼續喝 2友當街互毆警幫勸竟被,時間: Sat Jan  6 19:36:07 2024,0,2024-01-06 19:36:07
推: 6,噓: 3,分數: 3,作者: ashinly1021 (刁嘎咩衝麻改洨),標題: Re: [問卦] 台中大里晚上怎麼這麼多人拜拜,時間: Sat Jan  6 19:36:10 2024,6,2024-01-06 19:36:10
推: 216,噓: 33,分數: 183,作者: chopper594 (世界のももクロ No.1!!!),標題: [新聞] 再現貪食蛇！民眾黨今晚台中大會師 人潮,時間: Sat Jan  6 19:36:45 2024,216,2024-01-06 19:36:45
推: 7,噓: 1,分數: 6,作者: VVizZ (我很窮),標題: Re: [問卦] 貓咪不愛動是正常的嗎,時間: Sat Jan  6 19:36:46 2024,7,2024-01-06 19:36:46
推: 10,噓: 2,分數: 8,作者: x6073123 (),標題: [問卦] 有推薦的碎紙機嗎,時間: Sat Jan  6 19:38:15 2024,10,2024-01-06 19:38:15
推: 24,噓: 176,分數: -152,作者: felixden (Gura的老公),標題: Re: [問卦] 大家都習慣晚上做愛嗎,時間: Sat Jan  6 19:39:08 2024,24,2024-01-06 19:39:08
推: 4,噓: 0,分數: 4,作者: ak47good (陳鳥仁),標題: Re: [問卦] 身邊的覺青朋友 今年都不積極了？,時間: Sat Jan  6 19:39:22 2024,4,2024-01-06 19:39:22
推: 1,噓: 1,分數: 0,作者: Savior09 (Sakana Mazui),標題: [問卦] 教小孩是不是需要PUA,時間: Sat Jan  6 19:40:12 2024,1,2024-01-06 19:40:12
推: 7,噓: 0,分數: 7,作者: pulato16 (七股哥布林),標題: [問卦] 選舉公報一定要印出來嗎,時間: Sat Jan  6 19:40:58 2024,7,2024-01-06 19:40:58
推: 12,噓: 1,分數: 11,作者: hyperdunk (別鞭我),標題: [問卦] 八卦版怎麼那麼討厭抖音？,時間: Sat Jan  6 19:41:21 2024,12,2024-01-06 19:41:21
推: 13,噓: 4,分數: 9,作者: doremifasola (),標題: [問卦] 台灣音樂素質到底出了什麼事？,時間: Sat Jan  6 19:42:16 2024,13,2024-01-06 19:42:16
推: 36,噓: 5,分數: 31,作者: id44kimo (擁抱吧(B)),標題: Re: [新聞] 再現貪食蛇！民眾黨今晚台中大會師 人潮,時間: Sat Jan  6 19:43:03 2024,36,2024-01-06 19:43:03
